model,strategy,avg_latency,id_acc,ood_acc,gqr_score,dataset_acc
google/gemma-4-E2B-it,baseline,0.046,0.9282,0.9451,0.9366,"{'jigsaw': 0.9760423148724331, 'olid': 0.8848837209302326, 'hate_xplain': 0.9769165964616681, 'hate_speech_slovak ': 0.9478623566214807, 'dkhate': 0.939209726443769, 'web_questions': 0.922244094488189, 'ml_questions': 0.96875}"
google/gemma-4-E2B-it,gepa,0.3144,0.9459,0.7472,0.8349,"{'jigsaw': 0.835096453018046, 'olid': 0.6186046511627907, 'hate_xplain': 0.69469250210615, 'hate_speech_slovak ': 0.7361835245046924, 'dkhate': 0.8358662613981763, 'web_questions': 0.6505905511811023, 'ml_questions': 0.859375}"
Qwen/Qwen3.5-9B,baseline,0.0664,0.9232,0.9662,0.9442,"{'jigsaw': 0.9906658369632856, 'olid': 0.9069767441860465, 'hate_xplain': 0.9903959561920809, 'hate_speech_slovak ': 0.9614181438998958, 'dkhate': 0.9787234042553191, 'web_questions': 0.9355314960629921, 'ml_questions': 1.0}"
Qwen/Qwen3.5-9B,gepa,0.288,0.9578,0.8709,0.9123,"{'jigsaw': 0.9464841319228375, 'olid': 0.7, 'hate_xplain': 0.8813816343723673, 'hate_speech_slovak ': 0.8248175182481752, 'dkhate': 0.8814589665653495, 'web_questions': 0.8779527559055118, 'ml_questions': 0.984375}"
