model,avg_latency,id_acc,ood_acc,gqr_score,dataset_acc
mistral:7b,0.5988591254146862,0.9407777777777778,0.9102994490650297,0.925287697763307,"{'jigsaw': 0.9682638456751711, 'olid': 0.8744186046511628, 'hate_xplain': 0.9720303285593934, 'hate_speech_slovak ': 0.8143899895724713, 'dkhate': 0.9118541033434651, 'web_questions': 0.9483267716535433, 'ml_questions': 0.8828125}"
granite3.3:2b,0.48465380835028254,0.9507777777777778,0.9007402380543932,0.9250828720750728,"{'jigsaw': 0.977909147479776, 'olid': 0.9488372093023256, 'hate_xplain': 0.9962931760741365, 'hate_speech_slovak ': 0.9770594369134515, 'dkhate': 0.9483282674772037, 'web_questions': 0.8395669291338582, 'ml_questions': 0.6171875}"
phi4:14b,0.27288056694764773,0.9655555555555555,0.9016807799453259,0.9325256475156728,"{'jigsaw': 0.9620410703173615, 'olid': 0.7674418604651163, 'hate_xplain': 0.9629317607413648, 'hate_speech_slovak ': 0.8769551616266945, 'dkhate': 0.9361702127659575, 'web_questions': 0.8843503937007874, 'ml_questions': 0.921875}"
qwen3:14b,0.3885205821232178,0.9636666666666667,0.9197861439537818,0.9412152429750974,"{'jigsaw': 0.9281269446172993, 'olid': 0.8104651162790698, 'hate_xplain': 0.9435551811288964, 'hate_speech_slovak ': 0.9238790406673618, 'dkhate': 0.9240121580547113, 'web_questions': 0.9084645669291339, 'ml_questions': 1.0}"
