model,strategy,avg_latency,id_acc,ood_acc,gqr_score,dataset_acc
Qwen/Qwen3.5-9B,baseline,0.0868,0.9236,0.9661,0.9443,"{'jigsaw': 0.9900435594275047, 'olid': 0.9058139534883721, 'hate_xplain': 0.9903959561920809, 'hate_speech_slovak ': 0.9614181438998958, 'dkhate': 0.9787234042553191, 'web_questions': 0.9360236220472441, 'ml_questions': 1.0}"
Qwen/Qwen3.5-9B,dspy,0.4175,0.9572,0.8702,0.9117,"{'jigsaw': 0.9464841319228375, 'olid': 0.7023255813953488, 'hate_xplain': 0.8803706823925863, 'hate_speech_slovak ': 0.8237747653806048, 'dkhate': 0.878419452887538, 'web_questions': 0.8759842519685039, 'ml_questions': 0.984375}"
Qwen/Qwen3.5-9B,gepa,0.4175,0.9572,0.8702,0.9117,"{'jigsaw': 0.9464841319228375, 'olid': 0.7023255813953488, 'hate_xplain': 0.8803706823925863, 'hate_speech_slovak ': 0.8237747653806048, 'dkhate': 0.878419452887538, 'web_questions': 0.8759842519685039, 'ml_questions': 0.984375}"
Qwen/Qwen3.5-9B,fewshot,0.4172,0.9572,0.8702,0.9117,"{'jigsaw': 0.9464841319228375, 'olid': 0.7023255813953488, 'hate_xplain': 0.8803706823925863, 'hate_speech_slovak ': 0.8237747653806048, 'dkhate': 0.878419452887538, 'web_questions': 0.8759842519685039, 'ml_questions': 0.984375}"
