model,avg_latency,id_acc,ood_acc,gqr_score,dataset_acc
mistral:7b,0.28495791871794457,0.8778888888888889,0.9453172264768079,0.9103561935264723,"{'jigsaw': 0.9589296826384568, 'olid': 0.8965116279069767, 'hate_xplain': 0.9765796124684077, 'hate_speech_slovak ': 0.9186652763295099, 'dkhate': 0.9361702127659575, 'web_questions': 0.9616141732283464, 'ml_questions': 0.96875}"
granite3.3:2b,0.15290993217615304,0.8445555555555555,0.8931182093922698,0.8681582938356894,"{'jigsaw': 0.9100808960796515, 'olid': 0.736046511627907, 'hate_xplain': 0.908508845829823, 'hate_speech_slovak ': 0.8842544316996872, 'dkhate': 0.9118541033434651, 'web_questions': 0.9010826771653543, 'ml_questions': 1.0}"
phi4:14b,0.2659353732554795,0.9654444444444444,0.9003061559374395,0.9317382252172682,"{'jigsaw': 0.9579962663347853, 'olid': 0.763953488372093, 'hate_xplain': 0.9637742207245156, 'hate_speech_slovak ': 0.8696558915537018, 'dkhate': 0.9361702127659575, 'web_questions': 0.8809055118110236, 'ml_questions': 0.9296875}"
qwen3:14b,0.3232120478896263,0.9514444444444444,0.9247505618086274,0.9379076072554243,"{'jigsaw': 0.9695084007467331, 'olid': 0.8453488372093023, 'hate_xplain': 0.9679865206402696, 'hate_speech_slovak ': 0.8717413972888426, 'dkhate': 0.9057750759878419, 'web_questions': 0.9128937007874016, 'ml_questions': 1.0}"
