model,strategy,avg_latency,id_acc,ood_acc,gqr_score,dataset_acc
ibm-granite/granite-4.0-tiny-preview,baseline,0.1241,0.3941,0.9965,0.5648,"{'jigsaw': 0.9990665836963286, 'olid': 1.0, 'hate_xplain': 1.0, 'hate_speech_slovak ': 0.9979144942648592, 'dkhate': 1.0, 'web_questions': 0.9788385826771654, 'ml_questions': 1.0}"
ibm-granite/granite-4.0-tiny-preview,gepa,0.7254,0.934,0.5694,0.7075,"{'jigsaw': 0.8002489110143124, 'olid': 0.6348837209302326, 'hate_xplain': 0.7806234203875316, 'hate_speech_slovak ': 0.5599582898852972, 'dkhate': 0.7173252279635258, 'web_questions': 0.28937007874015747, 'ml_questions': 0.203125}"
mistralai/Mistral-7B-Instruct-v0.3,baseline,0.0439,0.6957,0.9928,0.8181,"{'jigsaw': 0.9931549471064095, 'olid': 0.9825581395348837, 'hate_xplain': 0.9988205560235889, 'hate_speech_slovak ': 0.986444212721585, 'dkhate': 0.993920972644377, 'web_questions': 0.9945866141732284, 'ml_questions': 1.0}"
mistralai/Mistral-7B-Instruct-v0.3,gepa,0.3801,0.9161,0.8511,0.8824,"{'jigsaw': 0.8929682638456752, 'olid': 0.763953488372093, 'hate_xplain': 0.9331086773378264, 'hate_speech_slovak ': 0.821689259645464, 'dkhate': 0.8905775075987842, 'web_questions': 0.8587598425196851, 'ml_questions': 0.796875}"
