model,strategy,avg_latency,id_acc,ood_acc,gqr_score,dataset_acc
google/gemma-4-E4B-it,baseline,0.0733,0.911,0.9766,0.9427,"{'jigsaw': 0.9859987554449284, 'olid': 0.9267441860465117, 'hate_xplain': 0.990564448188711, 'hate_speech_slovak ': 0.9801876955161627, 'dkhate': 0.9878419452887538, 'web_questions': 0.9650590551181102, 'ml_questions': 1.0}"
google/gemma-4-E4B-it,dspy,0.4925,0.9468,0.9239,0.9352,"{'jigsaw': 0.9542626011200995, 'olid': 0.8162790697674419, 'hate_xplain': 0.9309182813816343, 'hate_speech_slovak ': 0.9144942648592284, 'dkhate': 0.9209726443768997, 'web_questions': 0.9306102362204725, 'ml_questions': 1.0}"
google/gemma-4-E4B-it,gepa,0.496,0.9468,0.9239,0.9352,"{'jigsaw': 0.9542626011200995, 'olid': 0.8162790697674419, 'hate_xplain': 0.9309182813816343, 'hate_speech_slovak ': 0.9144942648592284, 'dkhate': 0.9209726443768997, 'web_questions': 0.9306102362204725, 'ml_questions': 1.0}"
google/gemma-4-E4B-it,fewshot,0.5012,0.9468,0.9239,0.9352,"{'jigsaw': 0.9542626011200995, 'olid': 0.8162790697674419, 'hate_xplain': 0.9309182813816343, 'hate_speech_slovak ': 0.9144942648592284, 'dkhate': 0.9209726443768997, 'web_questions': 0.9306102362204725, 'ml_questions': 1.0}"
